musim,hari_libur/kerja,total_penyewaan_sepeda,jam
musim semi,Hari Libur,985,0
musim semi,Hari Libur,985,1
musim semi,Hari Libur,985,2
musim semi,Hari Libur,985,3
musim semi,Hari Libur,985,4
musim semi,Hari Libur,985,5
musim semi,Hari Libur,985,6
musim semi,Hari Libur,985,7
musim semi,Hari Libur,985,8
musim semi,Hari Libur,985,9
musim semi,Hari Libur,985,10
musim semi,Hari Libur,985,11
musim semi,Hari Libur,985,12
musim semi,Hari Libur,985,13
musim semi,Hari Libur,985,14
musim semi,Hari Libur,985,15
musim semi,Hari Libur,985,16
musim semi,Hari Libur,985,17
musim semi,Hari Libur,985,18
musim semi,Hari Libur,985,19
musim semi,Hari Libur,985,20
musim semi,Hari Libur,985,21
musim semi,Hari Libur,985,22
musim semi,Hari Libur,985,23
musim semi,Hari Libur,801,0
musim semi,Hari Libur,801,1
musim semi,Hari Libur,801,2
musim semi,Hari Libur,801,3
musim semi,Hari Libur,801,4
musim semi,Hari Libur,801,6
musim semi,Hari Libur,801,7
musim semi,Hari Libur,801,8
musim semi,Hari Libur,801,9
musim semi,Hari Libur,801,10
musim semi,Hari Libur,801,11
musim semi,Hari Libur,801,12
musim semi,Hari Libur,801,13
musim semi,Hari Libur,801,14
musim semi,Hari Libur,801,15
musim semi,Hari Libur,801,16
musim semi,Hari Libur,801,17
musim semi,Hari Libur,801,18
musim semi,Hari Libur,801,19
musim semi,Hari Libur,801,20
musim semi,Hari Libur,801,21
musim semi,Hari Libur,801,22
musim semi,Hari Libur,801,23
musim semi,Hari Kerja,1349,0
musim semi,Hari Kerja,1349,1
musim semi,Hari Kerja,1349,4
musim semi,Hari Kerja,1349,5
musim semi,Hari Kerja,1349,6
musim semi,Hari Kerja,1349,7
musim semi,Hari Kerja,1349,8
musim semi,Hari Kerja,1349,9
musim semi,Hari Kerja,1349,10
musim semi,Hari Kerja,1349,11
musim semi,Hari Kerja,1349,12
musim semi,Hari Kerja,1349,13
musim semi,Hari Kerja,1349,14
musim semi,Hari Kerja,1349,15
musim semi,Hari Kerja,1349,16
musim semi,Hari Kerja,1349,17
musim semi,Hari Kerja,1349,18
musim semi,Hari Kerja,1349,19
musim semi,Hari Kerja,1349,20
musim semi,Hari Kerja,1349,21
musim semi,Hari Kerja,1349,22
musim semi,Hari Kerja,1349,23
musim semi,Hari Kerja,1562,0
musim semi,Hari Kerja,1562,1
musim semi,Hari Kerja,1562,2
musim semi,Hari Kerja,1562,4
musim semi,Hari Kerja,1562,5
musim semi,Hari Kerja,1562,6
musim semi,Hari Kerja,1562,7
musim semi,Hari Kerja,1562,8
musim semi,Hari Kerja,1562,9
musim semi,Hari Kerja,1562,10
musim semi,Hari Kerja,1562,11
musim semi,Hari Kerja,1562,12
musim semi,Hari Kerja,1562,13
musim semi,Hari Kerja,1562,14
musim semi,Hari Kerja,1562,15
musim semi,Hari Kerja,1562,16
musim semi,Hari Kerja,1562,17
musim semi,Hari Kerja,1562,18
musim semi,Hari Kerja,1562,19
musim semi,Hari Kerja,1562,20
musim semi,Hari Kerja,1562,21
musim semi,Hari Kerja,1562,22
musim semi,Hari Kerja,1562,23
musim semi,Hari Kerja,1600,0
musim semi,Hari Kerja,1600,1
musim semi,Hari Kerja,1600,2
musim semi,Hari Kerja,1600,4
musim semi,Hari Kerja,1600,5
musim semi,Hari Kerja,1600,6
musim semi,Hari Kerja,1600,7
musim semi,Hari Kerja,1600,8
musim semi,Hari Kerja,1600,9
musim semi,Hari Kerja,1600,10
musim semi,Hari Kerja,1600,11
musim semi,Hari Kerja,1600,12
musim semi,Hari Kerja,1600,13
musim semi,Hari Kerja,1600,14
musim semi,Hari Kerja,1600,15
musim semi,Hari Kerja,1600,16
musim semi,Hari Kerja,1600,17
musim semi,Hari Kerja,1600,18
musim semi,Hari Kerja,1600,19
musim semi,Hari Kerja,1600,20
musim semi,Hari Kerja,1600,21
musim semi,Hari Kerja,1600,22
musim semi,Hari Kerja,1600,23
musim semi,Hari Kerja,1606,0
musim semi,Hari Kerja,1606,1
musim semi,Hari Kerja,1606,2
musim semi,Hari Kerja,1606,4
musim semi,Hari Kerja,1606,5
musim semi,Hari Kerja,1606,6
musim semi,Hari Kerja,1606,7
musim semi,Hari Kerja,1606,8
musim semi,Hari Kerja,1606,9
musim semi,Hari Kerja,1606,10
musim semi,Hari Kerja,1606,11
musim semi,Hari Kerja,1606,12
musim semi,Hari Kerja,1606,13
musim semi,Hari Kerja,1606,14
musim semi,Hari Kerja,1606,15
musim semi,Hari Kerja,1606,16
musim semi,Hari Kerja,1606,17
musim semi,Hari Kerja,1606,18
musim semi,Hari Kerja,1606,19
musim semi,Hari Kerja,1606,20
musim semi,Hari Kerja,1606,21
musim semi,Hari Kerja,1606,22
musim semi,Hari Kerja,1606,23
musim semi,Hari Kerja,1510,0
musim semi,Hari Kerja,1510,1
musim semi,Hari Kerja,1510,2
musim semi,Hari Kerja,1510,4
musim semi,Hari Kerja,1510,5
musim semi,Hari Kerja,1510,6
musim semi,Hari Kerja,1510,7
musim semi,Hari Kerja,1510,8
musim semi,Hari Kerja,1510,9
musim semi,Hari Kerja,1510,10
musim semi,Hari Kerja,1510,11
musim semi,Hari Kerja,1510,12
musim semi,Hari Kerja,1510,13
musim semi,Hari Kerja,1510,14
musim semi,Hari Kerja,1510,15
musim semi,Hari Kerja,1510,16
musim semi,Hari Kerja,1510,17
musim semi,Hari Kerja,1510,18
musim semi,Hari Kerja,1510,19
musim semi,Hari Kerja,1510,20
musim semi,Hari Kerja,1510,21
musim semi,Hari Kerja,1510,22
musim semi,Hari Kerja,1510,23
musim semi,Hari Libur,959,0
musim semi,Hari Libur,959,1
musim semi,Hari Libur,959,2
musim semi,Hari Libur,959,3
musim semi,Hari Libur,959,4
musim semi,Hari Libur,959,5
musim semi,Hari Libur,959,6
musim semi,Hari Libur,959,7
musim semi,Hari Libur,959,8
musim semi,Hari Libur,959,9
musim semi,Hari Libur,959,10
musim semi,Hari Libur,959,11
musim semi,Hari Libur,959,12
musim semi,Hari Libur,959,13
musim semi,Hari Libur,959,14
musim semi,Hari Libur,959,15
musim semi,Hari Libur,959,16
musim semi,Hari Libur,959,17
musim semi,Hari Libur,959,18
musim semi,Hari Libur,959,19
musim semi,Hari Libur,959,20
musim semi,Hari Libur,959,21
musim semi,Hari Libur,959,22
musim semi,Hari Libur,959,23
musim semi,Hari Libur,822,0
musim semi,Hari Libur,822,1
musim semi,Hari Libur,822,2
musim semi,Hari Libur,822,3
musim semi,Hari Libur,822,4
musim semi,Hari Libur,822,5
musim semi,Hari Libur,822,6
musim semi,Hari Libur,822,7
musim semi,Hari Libur,822,8
musim semi,Hari Libur,822,9
musim semi,Hari Libur,822,10
musim semi,Hari Libur,822,11
musim semi,Hari Libur,822,12
musim semi,Hari Libur,822,13
musim semi,Hari Libur,822,14
musim semi,Hari Libur,822,15
musim semi,Hari Libur,822,16
musim semi,Hari Libur,822,17
musim semi,Hari Libur,822,18
musim semi,Hari Libur,822,19
musim semi,Hari Libur,822,20
musim semi,Hari Libur,822,21
musim semi,Hari Libur,822,22
musim semi,Hari Libur,822,23
musim semi,Hari Kerja,1321,0
musim semi,Hari Kerja,1321,1
musim semi,Hari Kerja,1321,2
musim semi,Hari Kerja,1321,3
musim semi,Hari Kerja,1321,4
musim semi,Hari Kerja,1321,5
musim semi,Hari Kerja,1321,6
musim semi,Hari Kerja,1321,7
musim semi,Hari Kerja,1321,8
musim semi,Hari Kerja,1321,9
musim semi,Hari Kerja,1321,10
musim semi,Hari Kerja,1321,11
musim semi,Hari Kerja,1321,12
musim semi,Hari Kerja,1321,13
musim semi,Hari Kerja,1321,14
musim semi,Hari Kerja,1321,15
musim semi,Hari Kerja,1321,16
musim semi,Hari Kerja,1321,17
musim semi,Hari Kerja,1321,18
musim semi,Hari Kerja,1321,19
musim semi,Hari Kerja,1321,20
musim semi,Hari Kerja,1321,21
musim semi,Hari Kerja,1321,22
musim semi,Hari Kerja,1321,23
musim semi,Hari Kerja,1263,0
musim semi,Hari Kerja,1263,1
musim semi,Hari Kerja,1263,2
musim semi,Hari Kerja,1263,5
musim semi,Hari Kerja,1263,6
musim semi,Hari Kerja,1263,7
musim semi,Hari Kerja,1263,8
musim semi,Hari Kerja,1263,9
musim semi,Hari Kerja,1263,10
musim semi,Hari Kerja,1263,11
musim semi,Hari Kerja,1263,12
musim semi,Hari Kerja,1263,13
musim semi,Hari Kerja,1263,14
musim semi,Hari Kerja,1263,15
musim semi,Hari Kerja,1263,16
musim semi,Hari Kerja,1263,17
musim semi,Hari Kerja,1263,18
musim semi,Hari Kerja,1263,19
musim semi,Hari Kerja,1263,20
musim semi,Hari Kerja,1263,21
musim semi,Hari Kerja,1263,22
musim semi,Hari Kerja,1263,23
musim semi,Hari Kerja,1162,0
musim semi,Hari Kerja,1162,1
musim semi,Hari Kerja,1162,2
musim semi,Hari Kerja,1162,5
musim semi,Hari Kerja,1162,6
musim semi,Hari Kerja,1162,7
musim semi,Hari Kerja,1162,8
musim semi,Hari Kerja,1162,9
musim semi,Hari Kerja,1162,10
musim semi,Hari Kerja,1162,11
musim semi,Hari Kerja,1162,12
musim semi,Hari Kerja,1162,13
musim semi,Hari Kerja,1162,14
musim semi,Hari Kerja,1162,15
musim semi,Hari Kerja,1162,16
musim semi,Hari Kerja,1162,17
musim semi,Hari Kerja,1162,18
musim semi,Hari Kerja,1162,19
musim semi,Hari Kerja,1162,20
musim semi,Hari Kerja,1162,21
musim semi,Hari Kerja,1162,22
musim semi,Hari Kerja,1162,23
musim semi,Hari Kerja,1406,0
musim semi,Hari Kerja,1406,1
musim semi,Hari Kerja,1406,2
musim semi,Hari Kerja,1406,3
musim semi,Hari Kerja,1406,4
musim semi,Hari Kerja,1406,5
musim semi,Hari Kerja,1406,6
musim semi,Hari Kerja,1406,7
musim semi,Hari Kerja,1406,8
musim semi,Hari Kerja,1406,9
musim semi,Hari Kerja,1406,10
musim semi,Hari Kerja,1406,11
musim semi,Hari Kerja,1406,12
musim semi,Hari Kerja,1406,13
musim semi,Hari Kerja,1406,14
musim semi,Hari Kerja,1406,15
musim semi,Hari Kerja,1406,16
musim semi,Hari Kerja,1406,17
musim semi,Hari Kerja,1406,18
musim semi,Hari Kerja,1406,19
musim semi,Hari Kerja,1406,20
musim semi,Hari Kerja,1406,21
musim semi,Hari Kerja,1406,22
musim semi,Hari Kerja,1406,23
musim semi,Hari Kerja,1421,0
musim semi,Hari Kerja,1421,1
musim semi,Hari Kerja,1421,2
musim semi,Hari Kerja,1421,3
musim semi,Hari Kerja,1421,5
musim semi,Hari Kerja,1421,6
musim semi,Hari Kerja,1421,7
musim semi,Hari Kerja,1421,8
musim semi,Hari Kerja,1421,9
musim semi,Hari Kerja,1421,10
musim semi,Hari Kerja,1421,11
musim semi,Hari Kerja,1421,12
musim semi,Hari Kerja,1421,13
musim semi,Hari Kerja,1421,14
musim semi,Hari Kerja,1421,15
musim semi,Hari Kerja,1421,16
musim semi,Hari Kerja,1421,17
musim semi,Hari Kerja,1421,18
musim semi,Hari Kerja,1421,19
musim semi,Hari Kerja,1421,20
musim semi,Hari Kerja,1421,21
musim semi,Hari Kerja,1421,22
musim semi,Hari Kerja,1421,23
musim semi,Hari Libur,1248,0
musim semi,Hari Libur,1248,1
musim semi,Hari Libur,1248,2
musim semi,Hari Libur,1248,3
musim semi,Hari Libur,1248,4
musim semi,Hari Libur,1248,5
musim semi,Hari Libur,1248,6
musim semi,Hari Libur,1248,7
musim semi,Hari Libur,1248,8
musim semi,Hari Libur,1248,9
musim semi,Hari Libur,1248,10
musim semi,Hari Libur,1248,11
musim semi,Hari Libur,1248,12
musim semi,Hari Libur,1248,13
musim semi,Hari Libur,1248,14
musim semi,Hari Libur,1248,15
musim semi,Hari Libur,1248,16
musim semi,Hari Libur,1248,17
musim semi,Hari Libur,1248,18
musim semi,Hari Libur,1248,19
musim semi,Hari Libur,1248,20
musim semi,Hari Libur,1248,21
